seqn,total_count
32691,1343114
32692,1640817
32693,1252935
32695,1631824
32697,1922715
32698,3276896
32703,1544614
32704,576536
32709,1083698
32710,1034598
32711,815790
32712,585764
32714,1892763
32715,2981805
32716,914018
32717,1875225
32718,429722
32719,3174406
32721,1796965
32722,3094292
32725,3367157
32726,1867600
32727,327631
32731,2376082
32732,1503022
32733,2550538
32734,1443226
32738,1542664
32739,1245794
32742,2440173
32743,1368788
32744,17147
32745,1692373
32746,755207
32748,4418355
32749,639833
32750,1322697
32751,108905
32753,1223402
32755,1904404
32756,1237665
32758,3093746
32759,1430955
32760,1122191
32761,528694
32762,2158434
32763,1624892
32765,1215089
32767,923067
32768,2765503
32769,716263
32771,2161853
32773,810646
32775,1142432
32776,1364637
32777,1483680
32778,2837440
32779,1672429
32781,2651025
32783,965745
32785,2946304
32786,1667579
32787,1373530
32788,3942267
32789,31980
32794,879729
32796,1760039
32797,2701868
32799,3038945
32800,2979340
32801,2136839
32802,2209230
32803,5272424
32804,627439
32806,2277478
32807,3710002
32808,2174
32809,1122
32810,3161406
32812,464305
32813,558572
32814,3010856
32815,1373420
32817,3352524
32819,7026
32821,894186
32822,1224823
32823,3530504
32824,1328305
32825,756409
32827,786
32829,2060592
32830,2578022
32832,1906721
32835,3436965
32836,831208
32837,2744178
32839,1914763
32840,1920241
32841,894282
32842,3505897
32845,698725
32847,1458190
32848,2801766
32849,1983424
32850,493902
32855,330301
32857,1888054
32859,2886278
32865,1846261
32866,2718668
32867,2282575
32868,1231311
32869,2215468
32870,1497932
32871,1549437
32873,732590
32874,235961
32875,970853
32876,5601532
32878,134579
32879,1678854
32880,770772
32881,1016180
32882,1318034
32885,2372829
32887,30760
32888,1898591
32889,1418756
32890,3215711
32891,2191017
32892,2222847
32893,445620
32895,2190429
32897,1662914
32899,773156
32900,2442130
32901,1097565
32904,93326
32905,1965206
32908,1142935
32909,4654562
32910,1903483
32911,2529208
32913,947204
32914,1108379
32915,15660
32916,869961
32918,801521
32919,3360626
32920,1481541
32921,1879198
32922,2062522
32923,682776
32924,377256
32925,2448766
32926,2131692
32927,1252223
32928,1755663
32929,2460383
32930,1095876
32931,1947653
32932,924069
32934,2100397
32935,2806471
32937,2982738
32938,1074382
32939,2911183
32941,1261734
32943,400392
32945,381462
32946,2206449
32947,3082391
32948,205730
32952,500679
32954,601108
32955,570804
32956,2129066
32958,2908738
32960,1090994
32962,962183
32963,3045322
32964,1163403
32965,3126284
32966,1744172
32971,2359674
32972,680886
32973,2417961
32975,1612978
32977,14456
32978,1036456
32979,2661645
32980,1679203
32981,451567
32983,1918422
32984,1659838
32985,1169956
32988,789740
32989,722433
32991,495514
32992,888753
32993,1893294
32994,2537842
32996,360450
32997,1640719
32998,1260117
32999,5041071
33001,711648
33002,2193041
33005,1543608
33006,1924715
33007,25852
33008,3706276
33011,2174109
33013,1025104
33014,1863752
33015,4796103
33017,336521
33020,1244676
33022,982773
33023,1214722
33024,2592146
33026,1449845
33028,3830377
33029,2000702
33030,2319667
33031,2029932
33034,1396470
33037,2234541
33039,763125
33040,3280883
33041,1028151
33042,590024
33043,1371368
33044,1361325
33046,2420662
33048,812598
33049,4460241
33050,1844019
33051,1496430
33053,3632026
33055,1527308
33056,3660708
33057,1592070
33058,1504519
33059,2050950
33062,2198379
33065,1519865
33066,761953
33067,763072
33069,1463982
33070,3336789
33071,770294
33072,727899
33076,1196242
33077,902042
33079,1652530
33080,1550268
33082,1220714
33084,4196003
33085,1707272
33086,769666
33088,1587318
33090,2999363
33092,2061648
33093,1422092
33094,851490
33095,1768756
33096,218984
33097,3378099
33100,641619
33101,3055050
33104,1953954
33105,882961
33106,987295
33107,843798
33108,620530
33109,2641535
33110,1680658
33111,2450726
33113,3455801
33114,1510470
33115,1509064
33120,3653645
33121,2770144
33122,398503
33123,275053
33125,1481703
33127,309500
33128,18996
33130,1290535
33131,1090252
33134,5888852
33137,670650
33139,1988443
33140,1824482
33141,1971691
33143,3868152
33144,462974
33145,2810434
33146,896592
33152,1380875
33153,234670
33154,944005
33156,1697841
33158,1874588
33160,3814914
33161,3446723
33163,295459
33165,2609414
33166,2417948
33167,1507190
33168,1254530
33169,2443338
33170,2151462
33172,3683833
33173,6343860
33175,170907
33176,21746
33177,321359
33178,570036
33179,2914725
33182,256360
33183,1539607
33184,1354596
33185,6727480
33186,2118524
33188,1021199
33190,1755633
33191,2066329
33193,328950
33195,1527419
33196,171877
33197,198720
33198,1190481
33200,258306
33201,1406212
33203,2475318
33206,1994717
33207,740737
33208,2614722
33209,259560
33211,2933703
33213,991063
33214,1437302
33215,4265191
33216,2866687
33217,1242139
33219,1478534
33220,2412438
33221,1512855
33222,1004016
33223,271193
33224,1897980
33225,470493
33226,2673514
33227,1301690
33228,534612
33229,1049537
33230,1823614
33231,2182151
33232,1284455
33235,726111
